Company Name,Phone Number,Category,Location,Notes
Mahoney Environmental,(800) 892-9392,UCO Recycler,National (serves DMV),EPA-licensed recycler serving 90k+ restaurants nationwide
Atlantic BioFuels,(410) 608-4318,UCO Recycler,Baltimore MD,Converts UCO to biodiesel - serves MD/DC/VA
DAR PRO Solutions,(855) 327-7761,UCO Recycler,National (serves DMV),Part of Darling Ingredients - 24/7 service
Greasecycle,(919) 817-6792,UCO Recycler,Virginia,Serves VA including NoVA/Richmond/Virginia Beach
Virginia Biodiesel Refinery,(804) 843-9258,Biodiesel Producer,West Point VA,Largest biodiesel facility in Virginia - needs UCO supply
Davenport Energy,(434) 432-0251,Biodiesel Producer,Chatham VA,Biodiesel fuel services in VA and NC
Taylor Oil Co.,(410) 636-9000,Wet Hose / Fuel Delivery,Baltimore MD,Since 1909 - diesel/DEF delivery - serves construction
Fannon Petroleum,(703) 468-2060,Wet Hose / Fuel Delivery,Gainesville VA,Serves DC/MD/VA - 24/7 delivery available
Green Petroleum,(301) 877-9060,Wet Hose / Fuel Delivery,Clinton MD,MBE certified - serving DMV since 1977
Griffith Energy Services,(888) 474-3391,Wet Hose / Fuel Delivery,Columbia MD,14 locations - fleet fueling 24/7
PepUp,(800) 638-7802,Wet Hose / Fuel Delivery,Federalsburg MD,Fleet fuel - serves MD/DE/VA - bulk delivery up to 8500 gal
Hart Fueling Service,(800) 961-6570,Wet Hose / Fuel Delivery,National (serves MD),Diesel delivery throughout Maryland
WetFuel,(208) 576-9538,Wet Hose / Fuel Delivery,National,Veteran-owned - mobile fueling 24/7
Grunley Construction,(202) 347-6984,Construction,Washington DC,Award-winning - 70 years in business - large projects
Coakley Williams Construction,(301) 963-5000,Construction,Bethesda MD,60+ years in DMV - multifamily/commercial
Cambridge Construction,(703) 709-8866,Construction,Washington DC,30+ years - licensed in VA/MD/DC
Encore Construction,(301) 468-3400,Construction,MD/VA/DC,Commercial - restaurants/offices/medical
DCG Dominion Construction,(540) 428-3612,Construction,Virginia,40+ years experience - churches/schools/retail
Alcoa Concrete & Masonry,(301) 699-9300,Construction,Hyattsville MD,Since 2004 - serves entire DMV
Espina Paving,(703) 491-9100,Construction / Paving,Northern Virginia,Excavation and concrete installation
NVM Paving & Concrete,(703) 426-2700,Construction / Paving,Fairfax VA,Parking lot maintenance - VA/MD/DC
Beitzel Excavating & Paving,(301) 334-6326,Construction / Paving,Oakland MD,NW Maryland and NE West Virginia
Potomac Paving,(540) 295-0601,Construction / Paving,VA/MD/DC,Full service paving and sealcoating
Dominion Paving,(804) 276-3622,Construction / Paving,Northern Virginia,Since 1982 - commercial paving
Fairways Construction,(240) 406-6006,Construction / Paving,DC/MD/VA,Ground works and site preparation
Evan Transportation,(443) 673-3365,Trucking / Fleet,Baltimore MD,600+ trailers - regional van truckload
Hot Shot Trucking DC,(202) 644-8833,Trucking / Fleet,Washington DC,Premium shipping - 2 hour load time
Potomac Family Dining Group,(240) 752-7565,Restaurant Group,Herndon VA,67 Applebee's locations - high UCO volume
Clyde's Restaurant Group,(202) 333-9180,Restaurant Group,Washington DC,14 restaurants in DC/MD/VA - Old Ebbitt Grill etc
Neighborhood Restaurant Group,(202) 543-3622,Restaurant Group,Washington DC,20+ restaurants/breweries in DC/MD/VA
The RC Group (Yum Brands),(410) 544-5200,Restaurant Group,Annapolis MD,Taco Bell franchisee - MD/VA/DE/GA
Titan Hospitality Group,(410) 263-1985,Restaurant Group,Anne Arundel MD,25+ years - restaurants in DC/MD/VA/DE
The Rose Group,(856) 642-1600,Restaurant Group,Cherry Hill NJ,55 Applebee's in DE/MD/NJ/PA
Cava,(202) 543-1920,Restaurant Chain,Washington DC,DC-born Mediterranean chain - expanding
&Pizza,(202) 733-1286,Restaurant Chain,Washington DC,15+ locations in DC metro
Sweetgreen,(310) 846-7672,Restaurant Chain,Los Angeles (HQ),Founded in DC - multiple DMV locations
